    Time         Eth-MAC-SRC       Eth-MAC-DST      OP       ARP-MAC-SRC     ARP-IP-SRC    ARP-MAC-DST     ARP-IP-DST
0.0527970790863 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.100.254 00:00:00:00:00:00 10.1.100.146
1.17916107178 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
2.92766308784 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
3.02204918861 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
3.94857311249 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
4.97046804428 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
5.48797106743 10:1f:74:3c:69:21 ff:ff:ff:ff:ff:ff who-has 10:1f:74:3c:69:21 10.1.11.15 00:00:00:78:00:04 10.1.11.187
6.70869612694 00:1c:c0:f7:a9:d4 ff:ff:ff:ff:ff:ff who-has 00:1c:c0:f7:a9:d4 10.1.11.70 00:00:00:00:00:00 10.1.11.254
7.73302102089 70:d4:f2:0b:70:1d ff:ff:ff:ff:ff:ff who-has 70:d4:f2:0b:70:1d 10.1.200.134 00:00:00:00:00:00 10.1.200.254
8.24435806274 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
9.26864314079 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
10.1902890205 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
11.623789072 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
12.4424750805 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
13.0692980289 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
13.4672420025 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
14.0831429958 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
15.1074290276 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
15.6167070866 00:16:76:c8:23:72 ff:ff:ff:ff:ff:ff who-has 00:16:76:c8:23:72 10.1.100.58 00:00:00:00:00:00 10.1.100.52
17.5627691746 00:1b:21:7f:6c:fc ff:ff:ff:ff:ff:ff who-has 00:1b:21:7f:6c:fc 10.1.0.254 00:00:00:00:00:00 10.1.0.10
18.291257143 00:27:0e:0f:28:26 ff:ff:ff:ff:ff:ff who-has 00:27:0e:0f:28:26 10.1.100.128 00:00:00:00:00:00 10.1.100.143
20.3273720741 00:18:e7:29:44:89 ff:ff:ff:ff:ff:ff who-has 00:18:e7:29:44:89 10.1.100.149 00:00:00:00:00:00 10.1.100.2
21.5564110279 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
